ROI,x,mean_delta,sem_delta,n,Cond
L_HEAD_DGCA23_HEAD_SUB_14,1,-0.182141466666667,0.031302382929773,30,ExactRepeat
L_HEAD_DGCA23_HEAD_SUB_14,2,-0.0790176,0.0390683549855832,30,CloseRepeat
L_HEAD_DGCA23_HEAD_SUB_14,3,-0.0822200666666667,0.0258421662864118,30,DistantRepeat
R_HEAD_DGCA23_HEAD_SUB_15,1,-0.170387,0.0245890393213547,30,ExactRepeat
R_HEAD_DGCA23_HEAD_SUB_15,2,-0.0619966666666667,0.0325876352206175,30,CloseRepeat
R_HEAD_DGCA23_HEAD_SUB_15,3,-0.0480682666666667,0.0324957237246788,30,DistantRepeat
