ROI,FitType,Model,AdjR2,R2,RMSE,SSE,DFE,Winner
L_HEAD_DGCA23_HEAD_SUB_14,Linear,f(x)=0.04996*x + -0.2144,0.451973014205016,0.725986507102508,0.0434075438146242,0.00188421486001852,1,Power2
L_HEAD_DGCA23_HEAD_SUB_14,Power2,f(x)=-0.1788*x^(-0.8962),0.843020349706245,0.921510174853123,0.0232319636075867,0.000539724133064234,1,Power2
R_HEAD_DGCA23_HEAD_SUB_15,Linear,f(x)=0.06116*x + -0.2158,0.668341324333311,0.834170662166656,0.0385639227972447,0.00148717614151185,1,Power2
R_HEAD_DGCA23_HEAD_SUB_15,Power2,f(x)=-0.1694*x^(-1.298),0.977073419570451,0.988536709785226,0.0101392344465314,0.000102804075161728,1,Power2
