"Subj","ROI","Cond","Beta"
"sub-030989","R_HEADCA1_NA","ExactRepeat",0.04187
"sub-030989","L_HEADDGCA23_NA","ExactRepeat",-0.1844
"sub-030989","R_HEADDGCA23_NA","ExactRepeat",0.05661
"sub-030989","L_HEADSUB_NA","ExactRepeat",-0.05602
"sub-030989","R_HEADSUB_NA","ExactRepeat",-0.05651
"sub-030989","L_SUB_NA","ExactRepeat",0.04718
"sub-030989","R_SUB_NA","ExactRepeat",0.04357
"sub-044413","L_CA12_NA","AllFirst",0.1519
"sub-044413","R_CA12_NA","AllFirst",0.1292
"sub-044413","L_DGCA3_NA","AllFirst",0.2495
"sub-044413","R_DGCA3_NA","AllFirst",0.1056
"sub-044413","L_HEADCA1_NA","AllFirst",0.1944
"sub-044413","R_HEADCA1_NA","AllFirst",0.189
"sub-044413","L_HEADDGCA23_NA","AllFirst",0.3831
"sub-044413","R_HEADDGCA23_NA","AllFirst",0.2419
"sub-044413","L_HEADSUB_NA","AllFirst",0.1108
"sub-044413","R_HEADSUB_NA","AllFirst",0.2005
"sub-044413","L_SUB_NA","AllFirst",0.265
"sub-044413","R_SUB_NA","AllFirst",0.08417
"sub-044413","L_CA12_NA","CloseRepeat",0.1007
"sub-044413","R_CA12_NA","CloseRepeat",0.04647
"sub-044413","L_DGCA3_NA","CloseRepeat",0.1963
"sub-044413","R_DGCA3_NA","CloseRepeat",0.03918
"sub-044413","L_HEADCA1_NA","CloseRepeat",-0.0743
"sub-044413","R_HEADCA1_NA","CloseRepeat",-0.1169
"sub-044413","L_HEADDGCA23_NA","CloseRepeat",-0.04647
"sub-044413","R_HEADDGCA23_NA","CloseRepeat",-0.08208
"sub-044413","L_HEADSUB_NA","CloseRepeat",-0.0554
"sub-044413","R_HEADSUB_NA","CloseRepeat",-0.03583
"sub-044413","L_SUB_NA","CloseRepeat",0.2122
"sub-044413","R_SUB_NA","CloseRepeat",0.1623
"sub-044413","L_CA12_NA","DistantRepeat",0.1187
"sub-044413","R_CA12_NA","DistantRepeat",0.06322
"sub-044413","L_DGCA3_NA","DistantRepeat",0.1264
"sub-044413","R_DGCA3_NA","DistantRepeat",0.01746
"sub-044413","L_HEADCA1_NA","DistantRepeat",-0.04028
"sub-044413","R_HEADCA1_NA","DistantRepeat",0.09212
"sub-044413","L_HEADDGCA23_NA","DistantRepeat",0.1176
"sub-044413","R_HEADDGCA23_NA","DistantRepeat",-0.01446
"sub-044413","L_HEADSUB_NA","DistantRepeat",-0.0603
"sub-044413","R_HEADSUB_NA","DistantRepeat",-0.136
"sub-044413","L_SUB_NA","DistantRepeat",0.1213
"sub-044413","R_SUB_NA","DistantRepeat",0.05063
"sub-044413","L_CA12_NA","ExactRepeat",0.1168
"sub-044413","R_CA12_NA","ExactRepeat",-0.04359
"sub-044413","L_DGCA3_NA","ExactRepeat",0.1636
"sub-044413","R_DGCA3_NA","ExactRepeat",-0.05017
"sub-044413","L_HEADCA1_NA","ExactRepeat",-0.02141
"sub-044413","R_HEADCA1_NA","ExactRepeat",-0.08764
"sub-044413","L_HEADDGCA23_NA","ExactRepeat",0.2177
"sub-044413","R_HEADDGCA23_NA","ExactRepeat",0.003878
"sub-044413","L_HEADSUB_NA","ExactRepeat",-0.05868
"sub-044413","R_HEADSUB_NA","ExactRepeat",0.08985
"sub-044413","L_SUB_NA","ExactRepeat",0.0496
"sub-044413","R_SUB_NA","ExactRepeat",-0.056
"sub-105662","L_CA12_NA","AllFirst",0.03105
"sub-105662","R_CA12_NA","AllFirst",-0.01334
